Date,Open,High,Low,Close,Volume,Adjusted Close
3/1/2000,6961.720215,7159.330078,6720.870117,6750.759766,0,6750.759766
4/1/2000,6747.240234,6755.359863,6510.459961,6586.950195,0,6586.950195
5/1/2000,6585.850098,6585.850098,6388.910156,6502.069824,0,6502.069824
6/1/2000,6501.450195,6539.310059,6402.629883,6474.919922,0,6474.919922
7/1/2000,6489.939941,6791.529785,6470.140137,6780.959961,0,6780.959961
10/1/2000,6785.470215,6975.259766,6785.470215,6925.52002,0,6925.52002
11/1/2000,6926.040039,6943.830078,6821.259766,6891.25,0,6891.25
12/1/2000,6878.919922,6913.5,6783.220215,6912.810059,0,6912.810059
13/01/2000,6913.129883,7106.450195,6898.689941,6955.97998,0,6955.97998
14/01/2000,6960.290039,7207.450195,6960.290039,7173.220215,0,7173.220215
17/01/2000,7177.47998,7297.040039,7112.970215,7258.899902,0,7258.899902
18/01/2000,7262.209961,7306.47998,7053.859863,7072.120117,0,7072.120117
19/01/2000,7065.310059,7110.189941,6987.120117,7091.040039,0,7091.040039
20/01/2000,7095.97998,7230.75,7076.810059,7112.660156,0,7112.660156
21/01/2000,7103.700195,7103.700195,6939.939941,6992.75,0,6992.75
24/01/2000,6987.589844,7092.5,6921.970215,6931.990234,0,6931.990234
25/01/2000,6928.080078,6928.080078,6809.640137,6809.640137,0,6809.640137
26/01/2000,6838.049805,6980.930176,6838.049805,6969.370117,0,6969.370117
27/01/2000,6983.419922,7169.870117,6944.649902,7126.129883,0,7126.129883
28/01/2000,7128.009766,7214.580078,7040.490234,7066.600098,0,7066.600098
31/01/2000,7054.240234,7054.240234,6816.540039,6835.600098,0,6835.600098
1/2/2000,6841.120117,7052.220215,6841.120117,7050.459961,0,7050.459961
2/2/2000,7063.569824,7172.049805,7038.709961,7171.950195,0,7171.950195
3/2/2000,7175.870117,7354.560059,7134.419922,7354.259766,0,7354.259766
4/2/2000,7355.689941,7491.790039,7338.149902,7444.609863,0,7444.609863
7/2/2000,7450.790039,7450.790039,7270.399902,7296.319824,0,7296.319824
8/2/2000,7295.609863,7570.549805,7263.189941,7549.879883,0,7549.879883
9/2/2000,7566.680176,7676.560059,7526.080078,7629.109863,0,7629.109863
10/2/2000,7617.069824,7709.27002,7496.419922,7709.27002,0,7709.27002
11/2/2000,7724.359863,7812.089844,7586.259766,7611.549805,0,7611.549805
14/02/2000,7569.009766,7660.390137,7542.299805,7644.799805,0,7644.799805
15/02/2000,7636.410156,7699.970215,7396.129883,7396.129883,0,7396.129883
16/02/2000,7401.259766,7596.899902,7342.649902,7490.319824,0,7490.319824
17/02/2000,7478.319824,7637.459961,7394.02002,7580.529785,0,7580.529785
18/02/2000,7584.390137,7658.879883,7543.5,7573.779785,0,7573.779785
21/02/2000,7568.339844,7590.529785,7447.709961,7590.529785,0,7590.529785
22/02/2000,7580.379883,7725.5,7540.359863,7607.939941,0,7607.939941
23/02/2000,7619.830078,7772.279785,7619.830078,7698.970215,0,7698.970215
24/02/2000,7696.919922,7813.200195,7587.080078,7640.529785,0,7640.529785
25/02/2000,7668.700195,7776.839844,7640.689941,7738.680176,0,7738.680176
28/02/2000,7732.899902,7747.370117,7492.22998,7587.129883,0,7587.129883
