Date,Open,High,Low,Close,Volume,Adjusted Close
3/1/2000,6762.109863,6762.109863,6762.109863,6762.109863,0,6762.109863
4/1/2000,6543.759766,6543.759766,6543.759766,6543.759766,0,6543.759766
5/1/2000,6567.029785,6567.029785,6567.029785,6567.029785,0,6567.029785
6/1/2000,6635.439941,6635.439941,6635.439941,6635.439941,0,6635.439941
7/1/2000,6792.669922,6792.669922,6792.669922,6792.669922,0,6792.669922
10/1/2000,6838.450195,6838.450195,6838.450195,6838.450195,0,6838.450195
11/1/2000,6774.47998,6774.47998,6774.47998,6774.47998,0,6774.47998
12/1/2000,6766.549805,6766.549805,6766.549805,6766.549805,0,6766.549805
13/01/2000,6836.759766,6836.759766,6836.759766,6836.759766,0,6836.759766
14/01/2000,6870.490234,6870.490234,6870.490234,6870.490234,0,6870.490234
18/01/2000,6808.640137,6808.640137,6808.640137,6808.640137,0,6808.640137
19/01/2000,6823.970215,6823.970215,6823.970215,6823.970215,0,6823.970215
20/01/2000,6772.580078,6772.580078,6772.580078,6772.580078,0,6772.580078
21/01/2000,6762.75,6762.75,6762.75,6762.75,0,6762.75
24/01/2000,6611.120117,6611.120117,6611.120117,6611.120117,0,6611.120117
25/01/2000,6606.779785,6606.779785,6606.779785,6606.779785,0,6606.779785
26/01/2000,6644.850098,6644.850098,6644.850098,6644.850098,0,6644.850098
27/01/2000,6627.189941,6627.189941,6627.189941,6627.189941,0,6627.189941
28/01/2000,6469.109863,6469.109863,6469.109863,6469.109863,0,6469.109863
31/01/2000,6574.009766,6574.009766,6574.009766,6574.009766,0,6574.009766
1/2/2000,6606.890137,6606.890137,6606.890137,6606.890137,0,6606.890137
2/2/2000,6618.419922,6618.419922,6618.419922,6618.419922,0,6618.419922
3/2/2000,6657.540039,6657.540039,6657.540039,6657.540039,0,6657.540039
4/2/2000,6628.669922,6628.669922,6628.669922,6628.669922,0,6628.669922
7/2/2000,6596.319824,6596.319824,6596.319824,6596.319824,0,6596.319824
8/2/2000,6651.299805,6651.299805,6651.299805,6651.299805,0,6651.299805
9/2/2000,6523.779785,6523.779785,6523.779785,6523.779785,0,6523.779785
10/2/2000,6496.819824,6496.819824,6496.819824,6496.819824,0,6496.819824
11/2/2000,6391.399902,6391.399902,6391.399902,6391.399902,0,6391.399902
14/02/2000,6398.060059,6398.060059,6398.060059,6398.060059,0,6398.060059
15/02/2000,6459.279785,6459.279785,6459.279785,6459.279785,0,6459.279785
16/02/2000,6396.790039,6396.790039,6396.790039,6396.790039,0,6396.790039
17/02/2000,6357.560059,6357.560059,6357.560059,6357.560059,0,6357.560059
18/02/2000,6203.290039,6203.290039,6203.290039,6203.290039,0,6203.290039
22/02/2000,6239.77002,6239.77002,6239.77002,6239.77002,0,6239.77002
23/02/2000,6224.02002,6224.02002,6224.02002,6224.02002,0,6224.02002
24/02/2000,6170.509766,6170.509766,6170.509766,6170.509766,0,6170.509766
25/02/2000,6094.910156,6094.910156,6094.910156,6094.910156,0,6094.910156
28/02/2000,6177.169922,6177.169922,6177.169922,6177.169922,0,6177.169922
29/02/2000,6266.419922,6266.419922,6266.419922,6266.419922,0,6266.419922
1/3/2000,6338.740234,6338.740234,6338.740234,6338.740234,0,6338.740234
2/3/2000,6360.100098,6360.100098,6360.100098,6360.100098,0,6360.100098
3/3/2000,6454.950195,6454.950195,6454.950195,6454.950195,0,6454.950195
6/3/2000,6386.740234,6386.740234,6386.740234,6386.740234,0,6386.740234
7/3/2000,6223.379883,6223.379883,6223.379883,6223.379883,0,6223.379883
8/3/2000,6251.509766,6251.509766,6251.509766,6251.509766,0,6251.509766
9/3/2000,6375.959961,6375.959961,6375.959961,6375.959961,0,6375.959961
10/3/2000,6337.259766,6337.259766,6337.259766,6337.259766,0,6337.259766
13/03/2000,6287.25,6287.25,6287.25,6287.25,0,6287.25
14/03/2000,6221.899902,6221.899902,6221.899902,6221.899902,0,6221.899902
15/03/2000,6397.319824,6397.319824,6397.319824,6397.319824,0,6397.319824
